"","longitude","latitude","name","island"
"1",-155.948333333,19.1983333333,"B","Hawaii"
"2",-155.986666667,19.385,"C","Hawaii"
"3",-155.956666667,19.0766666667,"TT","Hawaii"
"4",-155.951666667,19.28,"UU","Hawaii"
"5",-156.031666667,19.585,"VV","Hawaii"
"6",-156.193333333,19.8766666667,"OT","Hawaii"
"7",-155.391666667,19.13,"RN","Hawaii"
"8",-154.983333333,19.9766666667,"HK","Hawaii"
"9",-156.266666667,20.5333333333,"GG","Maui"
"10",-156.633333333,20.4033333333,"JJ","Maui"
"11",-157.141666667,20.5983333333,"MC","Maui"
"12",-156.158333333,20.5483333333,"NL","Maui"
"13",-156.583333333,21.3483333333,"N","Maui"
"14",-156.485,20.45,"HS","Maui"
"15",-158.146666667,21.8333333333,"J","Oahu"
"16",-157.811666667,20.7733333333,"P","Oahu"
"17",-158.281666667,21.4583333333,"R","Oahu"
"18",-158.246666667,21.3966666667,"S","Oahu"
"19",-157.43,21.5033333333,"T","Oahu"
"20",-157.691666667,21.5816666667,"U","Oahu"
"21",-158.313333333,21.5383333333,"V","Oahu"
"22",-157.993333333,21.8633333333,"X","Oahu"
"23",-158.035,21.035,"HH","Oahu"
"24",-158.221666667,21.7466666667,"II","Oahu"
"25",-157.755,21.7483333333,"LL","Oahu"
"26",-158.151666667,21.15,"BO","Oahu"
"27",-159.308333333,21.875,"Z","Kauai"
"28",-159.61,21.8216666667,"AA","Kauai"
"29",-159.231666667,22.2266666667,"BB","Kauai"
"30",-159.358333333,21.8066666667,"CK","Kauai"
"31",-159.228333333,22.125,"DK","Kauai"
"32",-159.491666667,22.3266666667,"EK","Kauai"
"33",-159.57,21.795,"PP","Kauai"
"34",-159.215,22.0216666667,"WK","Kauai"
"35",-159.731666667,21.865,"KK","Kauai"
