GRID NAME,date assess,AA  1 yr,AS  1 yr,GS  1 yr,Total IAA  1 yr,O 1yr,BRY  1yr,BS  1yr,CR 1yr,C 1yr,CE 1yr,CH 1yr,CLA  1yr,DC 1yr,DA  1yr,DF  1yr,DS  1yr,Total Dictyota 1yr,GC 1yr,GP 1yr,GR 1yr,HAL/HD  1yr,HH 1yr,HYD 1yr,HC 1yr,HM 1yr,LC 1yr,LM 1yr,P  1yr,SF 1yr,ROCK COUNT  (0 cm),SEDIMENT DEPTH MEAN m+s  cm
,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr,1yr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,457,458,420,420,450,293,0,13,0,91,2,130,0,22,27,5,,74,11,4,0,50,1,5,1,0,1,144,19,167,241,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7841 2951,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7875 2989,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7875 3035,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7918 3009,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7954 3181,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7960 2249,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7960 2268,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7960 2307,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7960 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7960 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7960 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7960 2722,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7969 2297,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7969 2307,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7969 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7969 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7969 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7969 2722,10/1/19,4,5,0,9,,,,,2,,1,,,,,1,1,,,,,,,,,,12,,3,26,2.43
7973 2987,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7978 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7978 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7978 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7978 2722,10/1/19,13,26,0,39,,,,,,,10,,,1,,8,9,,,,,,,,,,29,2,1,14,2.21
7978 3080,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7987 2258,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7987 2268,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7987 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7987 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7987 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7987 2722,10/1/19,0,10,0,10,,,,,,,1,,,,,,0,,,,,,,,,,6,,7,16,2.57
7988 3151,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7996 2249,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7996 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7996 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7996 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7996 2722,10/1/19,1,4,0,5,,,,,,,1,,,,,1,1,,,,,,,,,,5,,10,15,2.84
8005 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8005 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8005 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8005 2722,10/1/19,5,5,1,11,,,,,,,3,,,,,,0,,,,,,,,,,5,,10,14,3.69
8005 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8005 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 2722,10/1/19,2,1,0,3,,,,,,,,,,,,,0,,,,,,,,,,2,,10,21,2.64
8014 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2722,10/1/19,1,9,0,10,,,,,1,,1,,,,,1,1,,1,,,,,,,,1,,10,21,2.23
8023 2838,8/6/17,19,32,4,55,34,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2848,5/21/19,0,8,0,8,,,,,,,3,,,,,,0,,,,1,,,,,,1,,1,24,3.28
8023 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8024 3254,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8030 3228,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8030 3233,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8030 3259,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2722,10/1/19,7,0,0,7,,,,,3,,6,,,,,,0,,,,,,,,,,1,,,10,2.33
8032 2819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2838,8/6/17,4,3,0,7,6,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2848,6/10/19,0,2,1,3,3,,,,,,3,,,,,,0,,,,1,,,,,,,1,1,13,4.28
8032 2867,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3060,9/12/19,2,46,3,51,,,,,,,6,,,2,,,2,,,,42,,,,,,,,,25,3.50
8032 3070,9/12/19,1,6,0,7,1,,,,,,,,,2,,,2,,,,25,,,,,,,,,48,3.75
8032 3079,6/10/19,2,16,1,19,1,,,,,,14,,1,,3,,3,,,,40,,,,,,3,,,40,3.87
8032 3089,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3099,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3108,6/10/19,0,23,0,23,,,,,,,28,,,,10,4,14,,,,60,,,,,,8,,,13,3.54
8032 3118,6/10/19,2,42,8,52,5,,,,,,21,,,,1,8,9,,,,65,,,,,,1,,,26,2.25
8032 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 2780,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 2790,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 2819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 2838,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3012,10/30/16,34,34,5,73,63,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3021,10/30/16,28,73,5,106,81,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3050,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3060,9/12/19,1,57,5,63,,,,,1,,9,,1,1,,,1,,,,37,,,,,,1,,,9,1.67
8041 3070,9/12/19,2,37,0,39,,,,,,,5,,,3,,,3,,,,24,,,,,,2,,,22,1.86
8041 3099,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2780,9/27/18,0,0,0,,,,,,8,,,,,,,,0,,,,,,,,,,,1,1,6,4.64
8050 2790,9/27/18,3,2,2,7,5,,,,1,,,,,,,,0,,,,,,,,,,2,,,15,4.18
8050 2819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2915,11/12/18,9,26,21,56,6,,,,44,,,,,,,,2,,,,7,1,,,,,27,,18,6,2.62
8050 2925,10/9/18,24,35,17,76,2,,,,38,,,,,,,,1,,,,18,,,,,,35,,3,19,1.87
8050 2944,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2954,6/2/17,36,5,3,44,84,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2964,2/3/17,7,1,3,11,20,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2973,2/3/17,9,0,1,10,22,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2983,4/26/20,5,14,2,21,,,,,,,2,,,1,,2,3,,,,41,,1,,,,,,1,27,1.45
8050 2993,4/26/20,8,23,13,44,,,,,,,2,,,1,,,1,,1,,21,,,,,,,1,3,31,2.00
8050 3012,10/30/16,21,24,4,49,63,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3021,10/30/16,14,71,28,113,95,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3031,11/8/18,5,39,14,58,3,,1,,11,,,,,,,,0,,,,12,,,,,,,,,14,3.21
8050 3041,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3050,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3060,2/27/17,7,14,2,23,88,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3070,2/27/17,19,8,4,31,119,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3079,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
