GRID NAME,date assess,AA  3 yr,AS  3 yR,GS  3 yr,total IAA  3 yr,O 3yr,BRY  3yr,BS 3yr,CR 3yr,C 3yr,CE 3yr,CH 3yr,CLA  3yr,DC 3yr,DA  3yr,DF  3yr,DS  3yr,Total Dictyota sp. 3yr,GC 3yr,GP 3yr,GR 3yr,HAL/HD 3yr,HH 3yr,HYD 3yr,HC 3yr,HM 3yr,LC  3yr,LM 3yr,P 3yr,SF 3yr,ROCK COUNT  (0 cm),SEDIMENT DEPTH MEAN m+s  cm
,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr,3yr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346,347,347,346,346,201,0,11,0,125,2,117,0,40,36,7,28,116,4,4,0,83,5,1,3,0,2,172,36,167,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7841 2951,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7875 2989,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7875 3035,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7918 3009,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7954 3181,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7960 2249,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7960 2268,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7960 2307,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7960 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7960 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7960 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7960 2722,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7969 2297,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7969 2307,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7969 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7969 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7969 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7969 2722,9/9/21,11,13,0,24,,,,,,,3,,,3,,,3,,,,4,,,,,,6,1,,12,2.21
7973 2987,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7978 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7978 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7978 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7978 2722,9/9/21,10,10,0,20,,,1,,1,,3,,4,4,,1,5,,,,2,,,,,,11,1,1,19,1.93
7978 3080,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7987 2258,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7987 2268,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7987 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7987 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7987 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7987 2722,9/8/21,11,9,0,20,1,,,,1,,6,,,1,,1,2,,,,,,,,,,21,,1,40,1.71
7988 3151,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7996 2249,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
7996 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7996 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7996 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
7996 2722,9/8/21,6,9,0,15,,,,,2,,9,,,,,1,1,,,,,,,,,,20,,,26,2.26
8005 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8005 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8005 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8005 2722,9/8/21,8,21,0,29,,,,,43,,5,,,1,,,1,,,,,,,,,,31,1,2,19,3.59
8005 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8005 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 2722,9/8/21,1,6,0,7,,,,,18,,1,,,,,,0,,,,,,,,,,15,,1,19,3.34
8014 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8014 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 2722,9/8/21,6,4,0,10,,,,,,,1,,,,,,0,,,,,,,,,,6,,,6,3.32
8023 2838,8/12/19,7,19,8,34,,,,,5,,4,,,,,,0,,,,,,,,,,5,2,1,10,3.22
8023 2848,6/10/21,0,10,1,11,,,,,1,,,,,,,1,1,,,,12,,,,,,30,,4,20,3.93
8023 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8023 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8024 3254,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8030 3228,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8030 3233,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8030 3259,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2693,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2703,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2722,9/8/21,6,16,0,22,,,,,26,,3,,,,,1,1,,,,1,,,,,,29,,,19,3.91
8032 2819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 2838,8/12/19,1,6,0,7,,,,,1,,1,,,,,,0,,,,,,,,,,,,1,7,3.50
8032 2848,6/10/21,2,8,0,10,,,,,,,,,2,,,1,2,,,,1,,,,,,18,,1,26,2.73
8032 2867,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3060,9/11/21,4,13,2,19,,,,,,,,,1,2,,,2,,,,53,,,,,,68,,,18,2.00
8032 3070,9/11/21,4,5,0,9,,,,,,,,,1,1,1,,2,,,,55,,,,,,60,,,9,3.00
8032 3079,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3089,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3099,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3118,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8032 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 2780,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 2790,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 2819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 2838,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3012,10/9/18,19,48,12,79,3,,,,11,,,,,,,,0,,,,10,,,,,,40,,,,n/a
8041 3021,10/9/18,19,45,7,71,6,,,,13,,,,2,,,,0,,,,14,,,,,,45,,,13,1.22
8041 3050,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3060,9/18/21,3,5,0,8,,,,,,,,,,,,,0,,,,70,,,,,,80,,,4,2.50
8041 3070,9/11/21,3,12,0,15,,,,,,,1,,5,,,1,1,,,,40,,,,,,44,,1,29,3.57
8041 3099,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8041 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2780,9/22/20,3,7,1,11,1,,1,,3,,,,,1,,,1,,,,,,,1,,,21,2,1,20,3.44
8050 2790,9/22/20,12,22,3,37,,,3,,2,,,,2,,,,0,,,,,,,,,1,41,,3,28,3.20
8050 2819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2915,10/31/20,1,11,0,12,,,,,,,,,,,1,1,2,,,,42,1,,,,,,,1,16,3.25
8050 2925,9/30/20,5,10,4,19,1,,,,1,,,,,,,1,1,,,,47,11,,,,,81,,1,6,2.40
8050 2944,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2954,6/10/19,13,15,0,28,14,,,,,,12,,,,,,4,,,,12,,,,,,,,15,40,1.44
8050 2964,2/26/19,14,1,2,17,4,,,,25,,,,,,,,1,,,,,,,,,,5,,1,12,2.55
8050 2973,2/26/19,15,3,6,24,6,,,,1,,,,,,,,1,,,,3,,,,,,1,,2,12,2.68
8050 2983,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 2993,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3012,10/9/18,12,45,8,65,3,,,,5,,,,,,,,0,,,,2,,,,,,38,,1,21,2.79
8050 3021,10/9/18,11,52,13,76,1,,,,20,,,,3,,,,0,,,,3,,,,,,38,,,25,2.00
8050 3031,11/4/20,5,20,4,29,1,,,,,,3,,1,,1,7,8,,,,28,,,,,,19,,,17,1.57
8050 3041,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3050,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3060,2/16/19,8,2,3,13,13,,,,5,,,,2,,,,2,,,,10,,,,,,,,,32,3.29
8050 3070,2/16/19,12,2,3,17,11,,,,3,,,,,,,,0,,,,9,,,,,,1,,,38,1.72
8050 3079,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3089,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3099,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3118,2/23/22,1,22,0,23,,,,,,,1,,3,,,1,1,,,,49,,,,,,36,,,24,3.00
8050 3166,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3215,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8050 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2770,10/1/19,1,0,0,1,3,,,,1,,,,,,,,0,,,,,,,,,,,,1,7,2.92
8059 2819,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2828,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2838,10/11/19,9,20,1,30,,,,,17,,9,,,1,,,1,,,,,,,,,,2,,5,34,2.57
8059 2848,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2857,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2906,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2915,7/13/16,7,5,3,15,53,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2915,11/5/21,6,10,2,18,,,,,2,,,,,,,,0,,,,57,3,,,,,66,,1,12,2.67
8059 2925,8/7/21,9,9,0,18,,,,,1,,,,,2,,,2,,,,85,,,1,,,92,,,5,n/a
8059 2935,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2935,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2935,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2944,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 2954,6/10/19,14,9,0,23,7,,,,5,,11,,,,,,2,,,,2,,,,,,,2,4,31,2.06
8059 2964,2/26/19,4,0,1,5,1,,,,5,,,,,,,,3,,,,,,,,,,,,2,,2.73
8059 2973,2/26/19,7,4,2,13,2,,,,1,,,,,,,,0,,,,,,,,,,,,1,45,2.56
8059 2983,9/30/20,21,11,2,34,,,,,,,,,,1,2,3,6,,,,16,,,,,,20,1,2,31,1.80
8059 2993,11/28/21,11,3,0,14,,,,,,,,,3,2,,4,7,,,,76,,,,,,87,,,4,2.00
8059 3002,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3012,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3021,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3031,11/4/20,3,46,5,54,,,,,,,6,,,,3,11,14,,,,40,,,,,,16,1,3,20,1.50
8059 3041,7/9/19,10,27,9,46,,,,,1,,15,,1,,,,0,,,,7,,,,,,1,,5,39,1.00
8059 3050,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3060,2/16/19,12,5,1,18,16,,1,,8,,,,3,,,,0,,,,5,,,,,,,,,46,1.60
8059 3070,2/16/19,17,9,0,26,25,,,,1,,,,,,,,1,,,,16,,,,,,1,,,33,1.56
8059 3079,4/3/21,8,16,2,26,,,,,,,4,,5,,,,2,,,,34,,,,,,66,,,35,2.00
8059 3224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8059 3234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2780,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,n/a
8068 2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
